,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
0,387,6.094781,7.4236516,No,No,Yes,Roots and tubers
2,370,6.0998917,7.4185117,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
3,362,6.0960475,7.4171368,No,No,No,Roots and tubers
5,178,6.4268399,7.3468808,No,No,No,Fodder plants
7,128,5.6099253,6.6154641,No,No,No,Oilcrops
8,119,5.6061437,6.6204588,No,No,No,Oilcrops
9,125,5.601313,6.6225728,No,No,No,Oilcrops
12,170,5.9470729,6.4343268,No,No,No,Roots and tubers
13,173,5.949586,6.4389146,No,No,No,Roots and tubers
18,198,6.20091,6.3613384,No,No,No,Roots and tubers
19,353,7.3105178,6.8599055,No,Yes,No,Roots and tubers
21,404,7.322266,6.8653685,No,No,No,Roots and tubers
22,329,7.4505065,6.1453315,No,No,No,Roots and tubers
23,330,7.450675,6.1459783,No,No,Yes,Roots and tubers
24,239,7.4597433,6.1546767,No,No,Yes,Roots and tubers
25,328,7.4557932,6.1479182,No,No,Yes,Roots and tubers
26,71,7.7036615,6.344336,No,No,Yes,Roots and tubers
27,73,7.7054635,6.3469249,No,No,Yes,Roots and tubers
28,87,7.7049733,6.3561017,No,No,Yes,Roots and tubers
29,69,7.6979985,6.3388932,No,No,Yes,Roots and tubers
32,148,7.5921101,6.5689833,No,No,No,Cereals
34,41,8.356725,6.53911,No,No,No,Roots and tubers
35,35,8.3649933,6.53954,No,No,Yes,Roots and tubers
36,44,8.3691801,6.5403865,No,No,No,Roots and tubers
37,38,8.3692114,6.5365113,No,No,No,Roots and tubers
38,65,7.9805367,6.2012783,No,No,Yes,Roots and tubers
39,59,7.9787583,6.19578,No,No,Yes,Roots and tubers
40,65,7.9711283,6.198075,No,No,Yes,Roots and tubers
41,63,7.97097,6.2003017,No,No,Yes,Roots and tubers
43,200,7.6384156,5.723172,No,No,No,Roots and tubers
47,75,7.2877673,5.2300907,No,No,No,Vegetables
48,75,7.3002117,5.2275233,No,No,Yes,Roots and tubers
49,74,7.3036414,5.2305554,No,No,No,Roots and tubers
50,220,-2.4380683,6.8743673,No,No,No,Cereals
51,225,-2.4415071,6.8737356,No,No,No,Roots and tubers
52,237,-2.4423133,6.8727977,No,No,No,Roots and tubers
53,278,-2.4364375,6.8650895,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
54,326,-2.8883592,7.1759775,No,No,No,Cereals
55,326,-2.88494,7.1752861,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
56,302,-2.8886862,7.1716008,No,No,Yes,Cereals
57,297,-2.897968,7.1769783,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
58,176,-2.9394251,6.505516,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
59,199,-2.9357153,6.5090958,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
60,201,-2.9356887,6.5102905,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
61,188,-2.9367762,6.5013833,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
62,176,-2.3687767,6.1934402,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
63,227,-2.3772793,6.1867543,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
64,195,-2.3713713,6.1838967,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
66,128,-2.358064,5.8412862,No,No,Yes,Fodder plants
67,146,-2.352873,5.8453536,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
68,146,-2.3522381,5.8480695,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
69,155,-2.3588513,5.8482645,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
75,82,-2.6751763,5.3848455,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
76,38,-2.6640968,5.3743729,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
77,82,-2.674274,5.3708062,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
78,82,-1.9529591,5.0635083,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
79,104,-1.9537245,5.0707382,No,No,No,Roots and tubers
80,86,-1.944176,5.0725988,No,No,No,Oilcrops
81,86,-1.943421,5.0721961,No,No,Yes,Oilcrops
82,131,-1.9886366,5.5197983,No,No,No,Roots and tubers
83,139,-1.9868702,5.5140073,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
84,143,-2.001413,5.5225641,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
85,133,-1.9974648,5.5126003,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
86,110,-1.5805655,5.763754,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
87,101,-1.575708,5.779901,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
88,112,-1.5710384,5.7786066,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
90,138,-1.0602432,5.6713193,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
91,156,-1.0671382,5.6641403,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
92,131,-1.0538397,5.6590794,No,No,No,Fruits
94,112,-0.841777,5.4087084,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
95,104,-0.8425521,5.4061105,No,No,Yes,Cereals
96,71,-0.85665,5.4182933,No,No,No,Fruits
97,68,-0.8518026,5.4139628,No,No,No,Roots and tubers
99,103,-1.1381611,5.2786237,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
100,91,-1.1250368,5.2929153,No,No,Yes,Roots and tubers
102,160,-1.7561624,6.0414118,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
103,160,-1.7552216,6.0359608,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
104,294,-1.6243833,6.2675592,No,No,No,Roots and tubers
108,205,-1.9926665,6.6208219,No,No,No,Roots and tubers
109,149,-0.7865774,9.4870941,No,No,No,Cereals
110,146,-0.7866095,9.4836293,No,No,Yes,Cereals
111,173,-0.7932357,9.4841078,No,No,Yes,Cereals
112,169,-0.7919814,9.500284,No,No,Yes,Cereals
113,164,-0.9347398,9.6722508,No,No,Yes,Cereals
114,148,-0.943253,9.6694154,No,No,Yes,Cereals
115,140,-0.9429135,9.6665003,No,No,Yes,Cereals
116,148,-0.9377638,9.6752362,No,No,Yes,Cereals
117,243,-1.3257312,6.6528141,No,No,No,Cereals
118,245,-1.3249713,6.6610238,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
119,249,-1.3280136,6.6538094,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
120,261,-1.3269111,6.647193,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
122,263,-1.001844,6.6379803,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
123,270,-0.9942284,6.6337811,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
124,245,-0.9884701,6.6385094,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
127,30,0.1937191,5.7756798,No,No,Yes,Vegetables
128,55,0.2032879,5.7771823,No,No,No,Vegetables
129,53,0.2450793,6.1230762,No,No,No,Cereals
134,184,0.3632928,7.1076632,No,No,No,Roots and tubers
135,187,0.3714151,7.105721,No,No,No,Cereals
140,70,0.6347889,6.1894284,No,No,No,Roots and tubers
144,68,0.8755064,6.1546907,No,No,Yes,Roots and tubers
145,66,0.8837049,6.1580084,No,No,No,Roots and tubers
146,75,0.8836338,6.1509836,No,No,No,Roots and tubers
147,74,0.8880955,6.1416695,No,No,No,Roots and tubers
148,162,0.0605058,6.3408487,No,No,No,Cereals
149,236,0.0583214,6.3519645,No,No,No,Fruits
150,213,0.0575768,6.3547061,No,No,No,Cereals
151,308,-0.2269599,6.1304155,No,No,No,Vegetables
152,305,-0.2278399,6.130187,No,No,No,Cereals
153,406,-0.2233197,6.1368053,No,No,No,Cereals
154,408,-0.2244097,6.1366645,No,No,No,Roots and tubers
155,330,-1.222831,6.9217852,No,No,No,Roots and tubers
156,293,-1.2229293,6.9185163,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
157,289,-1.2215857,6.9178436,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
158,337,-1.2215495,6.9221288,No,No,No,Cereals
159,298,-2.2699216,10.0283209,No,No,No,Roots and tubers
160,309,-2.2608404,10.0228522,No,No,Yes,Roots and tubers
162,300,-2.2749209,10.0360365,No,No,No,Cereals
164,289,-2.651801,10.1051436,No,No,No,Roots and tubers
165,285,-1.7879026,10.370031,No,No,No,Cereals
166,287,-2.6293085,9.8554973,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
172,323,-2.8027086,10.5410971,No,No,Yes,Cereals
173,315,-2.7951884,10.5384033,No,No,No,Cereals
174,316,-2.7968564,10.5384873,No,No,No,Cereals
178,294,-2.6423167,9.6426647,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
179,309,-2.644303,9.6352366,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
180,300,-2.6505932,9.6395538,No,No,No,Cereals
181,294,-2.6521318,9.6405646,No,No,No,Cereals
182,348,-2.5043063,9.6036777,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
183,347,-2.5036366,9.6070451,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
184,333,-2.5005166,9.6059742,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
185,318,-2.4982987,9.6007978,No,No,Yes,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
189,271,-2.7313573,9.9912731,No,No,Yes,Cereals
190,277,-2.7369219,9.997778,No,No,No,Cereals
193,277,-2.6592538,10.1005563,No,No,No,Cereals
194,277,-2.658416,10.1001731,No,No,No,Cereals
195,293,-1.7888453,10.3691152,No,No,No,Cereals
198,349,-2.2958143,10.9436318,No,No,Yes,Cereals
200,335,-2.280641,10.9548358,No,No,Yes,Cereals
201,337,-2.2794549,10.9426689,No,No,Yes,Cereals
202,363,-2.0233455,10.8104091,No,No,No,Cereals
203,364,-2.0186455,10.8036681,No,No,Yes,Cereals
204,370,-2.0213449,10.8003784,No,No,Yes,Cereals
205,379,-2.022459,10.7984694,No,No,No,Cereals
207,242,-1.7584314,10.6218615,No,No,Yes,Cereals
209,198,-1.1943223,10.5577953,No,No,Yes,Cereals
217,163,-1.0819108,9.5354474,No,No,Yes,Cereals
218,157,-1.0874434,9.5338774,No,No,Yes,Cereals
219,170,-1.0879582,9.5248763,No,No,No,Cereals
220,198,-1.1837215,10.5444334,No,No,No,Cereals
222,181,-1.0875367,9.5219462,No,No,Yes,Cereals
224,206,-1.1918997,10.5592576,No,No,Yes,Cereals
225,316,-2.0671262,7.1327243,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
226,324,-2.0678253,7.1381566,No,No,No,Cereals
227,312,-2.0758801,7.1362905,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
228,341,-2.0832458,7.1391006,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
229,342,-2.4027601,7.271916,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
230,346,-2.4029061,7.271922,No,No,No,Cereals
231,355,-2.4144907,7.2609408,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
232,346,-2.4138935,7.2547305,No,No,No,Roots and tubers
233,327,-2.7781589,7.6871253,No,No,No,Oilcrops
234,352,-2.7902745,7.6883238,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
235,375,-2.794897,7.6991208,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
236,369,-2.7918986,7.7018183,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
237,330,-2.6607917,7.7446745,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
238,343,-2.6590164,7.7435938,No,No,No,Roots and tubers
240,441,-1.936975,7.6099755,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
242,447,-1.9202286,7.612593,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
243,447,-1.7187898,7.9106567,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
244,450,-1.7198594,7.9159302,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
245,459,-1.7207602,7.9184205,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
246,459,-1.7123151,7.9188264,No,No,No,Fodder plants
247,388,-1.5746567,8.0124509,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
248,373,-1.5762664,8.0185151,No,No,No,Roots and tubers
249,336,-1.571344,8.0206951,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
250,365,-1.5710157,8.0232789,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
251,168,-1.269061,8.0655371,No,No,No,Roots and tubers
254,141,-0.7888625,8.1644976,No,No,No,Cereals
256,150,-0.9159784,7.8535136,No,No,No,Roots and tubers
264,159,-0.3335626,7.8527817,No,No,No,Roots and tubers
268,352,-1.618459,7.6925447,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
269,359,-1.6280271,7.6880356,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
270,359,-1.6331683,7.6898798,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
271,370,-1.6338112,7.7012261,No,No,No,Roots and tubers
272,214,-1.4546568,7.3307506,No,No,No,Cereals
275,226,-1.4523581,7.326829,No,No,No,Cereals
276,229,-1.1546822,7.6156135,No,No,No,"Other crops (e.g., rubber)"
278,286,-2.4291311,8.1405965,No,No,No,Roots and tubers
285,295,-0.0429797,11.0365687,No,No,Yes,Cereals
290,211,-1.0790889,10.8556427,No,No,Yes,Cereals
291,235,-1.0677032,10.8523047,No,No,Yes,Cereals
292,238,-1.0759665,10.8481516,No,No,Yes,Cereals
293,221,-1.0777432,10.8569633,No,No,Yes,Cereals
294,291,-0.0510391,11.034646,No,No,Yes,Cereals
296,183,-1.0263717,10.4698215,No,No,Yes,Cereals
297,182,-1.0240054,10.4651281,No,No,Yes,Cereals
298,151,-1.0247249,10.4588624,No,No,Yes,Cereals
299,165,-1.0287781,10.4585199,No,No,Yes,Cereals
301,309,-0.0715743,10.5015795,No,No,Yes,Cereals
302,313,-0.072513,10.503531,No,No,Yes,Cereals
304,410,-0.4001183,10.5743169,No,No,Yes,Cereals
306,423,-0.4093,10.5692728,No,No,Yes,Cereals
309,160,0.1769874,9.9359414,No,No,No,Cereals
310,209,-0.1901402,9.3452023,No,No,Yes,Cereals
311,212,-0.190598,9.3484418,No,No,Yes,Cereals
313,202,-0.3173714,9.9435442,No,No,Yes,Cereals
314,192,-0.1093992,10.2077592,No,No,Yes,Cereals
315,183,-0.1064659,10.2054097,No,No,Yes,Cereals
316,192,-0.1135654,10.2108071,No,No,Yes,Cereals
317,158,0.1759602,9.9345882,No,No,No,Cereals
319,202,-0.3278465,9.9361543,No,No,Yes,Roots and tubers
320,207,-0.3253249,9.9346397,No,No,Yes,Cereals
321,179,0.0438154,9.7751997,No,No,No,Cereals
322,186,0.0404342,9.775182,No,No,No,Cereals
323,187,0.0382763,9.7740424,No,No,No,Roots and tubers
324,198,0.0337932,9.7751929,No,No,Yes,Pulses
325,199,0.1679533,9.9406402,No,No,Yes,Cereals
327,181,-0.7801174,9.5035156,No,No,Yes,Cereals
328,171,-0.7821819,9.5007459,No,No,Yes,Cereals
329,190,-0.7759521,9.5149997,No,No,No,Cereals
330,172,-0.7766531,9.5132292,No,No,Yes,Cereals
331,159,-0.7909377,9.8769003,No,No,Yes,Cereals
332,137,-0.7980706,9.8773996,No,No,No,Cereals
333,154,-0.796056,9.8725632,No,No,Yes,Cereals
334,135,-0.7084294,10.3037445,No,No,No,Cereals
335,164,-0.7131599,10.29611,No,No,No,Cereals
336,162,-0.7002938,10.3067817,No,No,No,Cereals
337,147,-0.7924045,9.8735177,No,No,Yes,Cereals
338,150,-0.7074308,10.2954349,No,No,Yes,Cereals
339,306,-2.5803791,8.992389,No,No,No,Roots and tubers
340,301,-2.5835505,8.9906042,No,No,No,Roots and tubers
341,271,-2.5807832,8.981594,No,No,No,Oilcrops
343,144,-1.3538612,9.1280033,No,No,No,Cereals
345,148,-1.3615149,9.1324733,No,No,No,Cereals
347,168,-0.9349022,9.2577364,No,No,No,Cereals
348,166,-0.9332677,9.2550981,No,No,Yes,Cereals
349,161,-0.9287757,9.2614636,No,No,No,Cereals
350,165,-0.9304587,9.2595399,No,No,No,Oilcrops
352,181,-0.4730204,8.7447009,No,No,No,Cereals
353,169,-0.4746076,8.7450718,No,No,No,Cereals
357,165,-0.6468737,8.5222665,No,No,No,Roots and tubers
358,172,-0.6442579,8.5183624,No,No,No,Roots and tubers
359,154,-0.2398858,8.4731467,No,No,No,Roots and tubers
360,142,-0.2329617,8.4623232,No,No,No,Roots and tubers
361,150,-0.2358458,8.4607408,No,No,No,Cereals
362,154,-0.238339,8.4593893,No,No,No,Roots and tubers
363,169,-0.0436825,9.1199639,No,No,No,Cereals
365,178,-0.0533437,9.1136643,No,No,No,Oilcrops
366,170,-0.0544716,9.1152129,No,No,No,Roots and tubers
368,164,-1.6693824,8.7563873,No,No,No,Roots and tubers
369,149,-1.6697505,8.7542733,No,No,No,Roots and tubers
370,142,-1.6756651,8.7551363,No,No,No,Roots and tubers
375,138,-0.6856669,9.1940989,No,No,No,Cereals
376,137,-0.6905825,9.1930075,No,No,No,Cereals
377,137,-0.692813,9.1872561,No,No,No,Fodder plants
378,148,-0.6963092,9.1773233,No,No,No,Fodder plants
383,150,0.2147132,9.6291363,No,No,No,Roots and tubers
384,154,0.2171391,9.6310437,No,No,No,Roots and tubers
385,154,0.2133288,9.6343619,No,No,No,Vegetables
386,126,0.2868325,9.1579328,No,No,No,Cereals
387,131,0.284586,9.1525504,No,No,No,Roots and tubers
388,139,0.3013159,9.1449957,No,No,No,Roots and tubers
389,120,0.2880806,9.1454055,No,No,No,Cereals
390,165,0.1282434,8.8539536,No,No,No,Roots and tubers
391,167,0.1308362,8.854506,No,No,No,Roots and tubers
394,184,0.0007077,8.4668808,No,No,No,Roots and tubers
395,194,0.0076179,8.4680925,No,No,No,Roots and tubers
396,234,-0.0020502,8.4747317,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
399,195,0.0103035,8.4500306,No,No,No,Roots and tubers
400,199,0.0037692,8.4594888,No,No,No,Roots and tubers
401,204,0.0104107,8.306503,No,No,No,Roots and tubers
403,186,0.0087961,8.2973524,No,No,No,Roots and tubers
404,158,0.0216199,8.2975528,No,No,No,Roots and tubers
405,228,0.4277983,8.2615201,No,No,No,Roots and tubers
406,239,0.4267035,8.2662398,No,No,No,Roots and tubers
407,218,0.4363977,8.264348,No,No,No,Roots and tubers
408,213,0.4371309,8.2757858,No,No,No,Roots and tubers
412,137,0.3500253,6.926935,No,No,No,Fodder plants
413,110,0.2629791,6.6401078,No,No,No,Fruits
414,164,0.2583068,6.6268522,No,No,No,Cereals
416,164,0.2599074,6.6293885,No,No,No,Roots and tubers
417,88,10.8036242,33.2781332,No,No,Yes,Fruits
418,94,10.8044485,33.2788186,No,No,No,Fruits
420,92,10.7814783,33.2535147,No,No,Yes,Fruits
421,105,10.7789257,33.2553399,No,No,Yes,Fruits
429,287,4.1879004,9.7335863,No,No,No,Pulses
430,294,4.181849,9.7322367,No,No,No,Pulses
431,298,4.1762113,9.7316343,No,No,No,Pulses
432,299,4.1756611,9.7295182,No,No,No,Pulses
433,393,3.454167,9.4933269,No,No,No,Pulses
436,404,3.4442609,9.4919589,No,No,No,Pulses
437,421,3.2814209,9.0575645,No,No,No,Pulses
438,411,3.2822972,9.0586193,No,No,No,Pulses
439,428,3.288635,9.05707,No,No,No,Pulses
440,417,3.2910818,9.0545087,No,No,No,Pulses
441,365,4.0416305,9.0244544,No,No,No,Fibre crops
442,356,4.0426702,9.0239189,No,No,No,Roots and tubers
443,360,4.0437966,9.0225191,No,No,No,Pulses
444,359,4.0399902,9.0293585,No,No,No,Roots and tubers
445,381,2.9145957,8.907956,No,No,No,Fruits
446,355,2.9245267,8.9040824,No,No,No,Fruits
447,333,2.9236609,8.8942488,No,No,No,Fruits
448,358,2.9410681,8.9587912,No,No,No,Cereals
451,99,7.6584268,5.2699692,No,No,No,Oilcrops
453,71,7.8400574,4.9322448,No,No,No,Oilcrops
454,52,7.8145415,4.7954824,No,No,No,Oilcrops
455,58,7.8080409,4.8022353,No,No,No,Oilcrops
457,26,7.9231153,4.6665018,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
460,33,7.935309,4.6644396,No,No,No,Roots and tubers
463,28,7.3845691,4.6811538,No,No,No,Oilcrops
469,26,6.6538452,5.0981876,No,No,No,Oilcrops
473,258,4.3397583,7.4651431,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
476,238,4.3265796,7.4542592,No,No,No,Roots and tubers
477,373,4.2931922,7.9241703,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
478,362,4.2863805,7.9313098,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
479,371,4.2788946,7.9360905,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
480,355,4.2884266,7.9283164,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
481,282,7.0704133,9.29235,No,Yes,No,Vegetables
482,288,7.0646863,9.2929458,No,Yes,No,Pulses
483,302,7.0697407,9.2989239,Yes,Yes,No,Cereals
484,335,6.8432167,9.4001,No,No,Yes,Cereals
485,358,6.8499816,9.3998544,No,No,No,Cereals
486,346,6.8488374,9.4017737,No,No,Yes,Cereals
487,395,6.8513129,9.3971367,No,Yes,No,Cereals
488,344,7.231693,9.0275383,No,Yes,No,Cereals
491,157,9.7314294,7.8920206,No,No,No,Cereals
492,128,10.119445,8.1575267,No,No,No,Oilcrops
493,131,10.11626,8.1637917,No,No,No,Oilcrops
494,132,10.01638,7.6924817,No,No,No,Cereals
495,128,10.00738,7.6994717,No,No,No,Cereals
496,123,10.0171033,7.6895583,No,No,No,Cereals
497,127,10.0106877,7.6929052,No,No,No,Cereals
498,223,10.380185,7.4220517,No,No,No,Fibre crops
499,226,10.36537,7.4295683,No,No,No,Cereals
500,179,10.4056467,7.61497,No,No,No,Cereals
501,199,10.4094333,7.6190983,No,No,No,Oilcrops
502,192,10.4103083,7.6223833,No,No,No,Cereals
503,200,11.0355783,8.19055,No,No,No,Pulses
504,183,9.9163885,7.9557021,No,No,No,Cereals
505,221,10.3780717,7.4197967,No,No,No,Cereals
506,223,10.3782067,7.4173367,No,No,No,Cereals
507,192,11.0391133,8.18751,No,No,No,Cereals
508,205,11.0282917,8.2082233,No,No,No,Pulses
509,200,11.0345167,8.1911567,No,No,No,Cereals
510,250,11.1605933,8.1125967,No,No,No,Cereals
511,241,11.1706367,8.11301,No,No,No,Cereals
512,245,11.1669407,8.1124252,No,No,No,Cereals
513,233,11.1658967,8.1125567,No,No,No,Cereals
514,184,11.043416,7.8333282,No,No,No,Roots and tubers
515,179,11.0495217,7.8362917,No,No,No,Oilcrops
516,179,11.0512467,7.833325,No,No,No,Cereals
517,167,11.039565,7.8388317,No,No,No,Oilcrops
518,171,10.4024983,7.6122833,No,No,No,Cereals
519,198,10.4191006,8.2739884,No,No,No,Cereals
520,176,10.4106533,8.2776567,No,No,No,Cereals
521,163,10.4098898,8.2822403,No,No,No,Cereals
522,179,10.4156833,8.2753567,No,No,No,Cereals
523,114,10.1295933,8.1493667,No,No,No,Cereals
524,122,10.110905,8.163935,No,No,No,Oilcrops
525,156,9.912135,7.9736167,No,No,No,Roots and tubers
526,153,9.90923,7.9760883,No,No,No,Roots and tubers
527,153,9.9070283,7.9742567,No,No,No,Roots and tubers
528,171,9.7343306,7.8841274,No,No,No,Roots and tubers
529,166,9.734165,7.8849,No,No,No,Roots and tubers
530,148,9.7325133,7.89539,No,No,No,Cereals
531,176,9.9161133,7.95611,No,No,No,Cereals
532,338,6.715157,9.8775186,No,No,No,Pulses
533,362,6.7148742,9.8749404,No,No,No,Vegetables
534,324,6.7154227,9.8755464,No,No,No,Pulses
537,356,6.7187725,9.8783835,No,No,No,Cereals
538,179,6.1427256,9.8360519,No,No,No,Cereals
539,160,6.1484107,9.8304982,No,No,No,Cereals
540,41,6.5152614,9.5352306,No,No,No,Cereals
541,231,6.5100226,9.53514,No,No,No,Cereals
542,109,6.5012162,9.5253083,No,No,No,Pulses
543,197,6.5059901,9.5223074,No,No,No,Cereals
544,231,6.5088913,9.5267409,No,No,No,Cereals
545,166,6.507363,9.5293022,No,No,No,Cereals
546,482,6.952318,9.7200257,No,No,No,Cereals
547,445,6.9565416,9.7758874,No,No,No,Cereals
548,487,6.9616681,9.7705335,No,No,No,Roots and tubers
549,487,6.9659538,9.7738502,No,No,No,Cereals
550,487,6.6759128,9.8066279,No,No,No,Cereals
551,487,6.6693308,9.8127889,No,No,No,Roots and tubers
552,534,6.6709277,9.8133077,No,No,No,Roots and tubers
554,216,6.1296665,9.8888189,No,No,No,Roots and tubers
555,169,6.1472369,9.8317771,No,No,No,Cereals
556,209,6.1408591,9.8827777,No,No,No,Cereals
557,167,6.1453435,9.8328361,No,No,No,Cereals
558,414,9.9147977,11.6767708,No,No,No,Cereals
559,410,9.9193946,11.6824521,No,No,No,Cereals
560,436,9.9178771,11.6846,No,No,No,Pulses
561,423,9.9122025,11.6765957,No,No,No,Pulses
562,453,10.4373342,11.5963615,No,No,No,Roots and tubers
563,456,10.4356926,11.5915158,No,No,No,Pulses
564,454,10.4343703,11.5887938,No,No,No,Cereals
565,458,10.4416417,11.5918067,No,No,No,Cereals
566,405,10.7549554,11.6929658,No,No,No,Cereals
567,411,10.7651852,11.6977432,No,No,No,Cereals
568,410,10.7707575,11.6975003,No,No,No,Cereals
569,411,10.7545497,11.7016701,No,No,No,Pulses
570,441,10.7570073,11.3631698,No,No,No,Cereals
572,446,10.7505932,11.3601049,No,No,No,Pulses
573,441,10.7441355,11.364434,No,No,No,Cereals
574,398,10.1737668,11.9801308,No,Yes,No,Vegetables
575,394,10.1762077,11.983431,No,No,No,Vegetables
576,385,10.1760308,11.98462,No,No,Yes,Vegetables
577,423,8.8084813,12.0353627,No,No,No,Cereals
578,412,8.8157505,12.0467898,No,No,No,Cereals
579,427,8.8080711,12.0342601,No,No,No,Cereals
580,428,8.80406,12.0393233,No,No,No,Cereals
581,429,8.7574703,11.8304089,No,No,No,Cereals
582,425,8.7590117,11.8324633,No,No,No,Cereals
583,422,8.7598767,11.8327117,No,No,No,Cereals
584,553,8.0338005,12.0262857,No,No,No,Cereals
