,altitude,longitude,latitude,srf_salt,srf_crust,bare_soil,crop_type
13479,426,4.8529827,7.9149345,No,No,No,"Semi-luxury foods (coffee, tea, cocoa, tobacco, nuts)"
13481,422,29.2430337,7.0215329,No,No,No,Cereals
13482,435,29.2537381,7.0265306,No,No,No,Cereals
13483,413,29.2514628,7.0309354,No,No,No,Cereals
13484,423,29.2556003,7.0354777,No,No,No,Cereals
13485,463,31.4570033,-25.984227,No,No,Yes,Cereals
13486,443,31.4587763,-25.9738186,No,No,No,Cereals
13489,232,31.8989021,-27.0617302,No,No,No,Cereals
13490,215,31.9030399,-27.06483,No,No,No,Cereals
13491,213,31.9155101,-27.0777763,No,No,No,Fibre crops
13492,224,31.9114367,-27.0758069,No,No,No,Fibre crops
13495,1143,27.5759309,-16.5709997,No,No,Yes,Cereals
13496,1118,27.5777865,-16.5849767,No,No,Yes,Cereals
13501,1329,29.6672808,-19.3854871,No,No,No,Cereals
13503,1355,29.6600172,-19.3844283,No,No,No,Cereals
13509,926,14.3531307,-11.3081294,No,No,No,Cereals
13510,937,14.3531442,-11.3082108,No,No,No,Cereals
13511,914,14.3530627,-11.3081832,No,No,No,Cereals
13512,1118,16.427495,-9.8576576,No,No,No,Roots and tubers
13513,1120,16.4273817,-9.8571917,No,No,No,Roots and tubers
